DIRECTORIO,TIP_FOR,P1,P1S1,P2,P2S1,P5,CTL_1,P8R,P9,P10R,P11,P12,P13,P15,P16S1,P16S2,P16S3,P16S4,P16S5,P16S6,P16S7,P16S8,P16S9,P17,P17S1,P17S2,P17S3,P17S4,P17S5,P17S6,P17S7,P17S8,P17S9,P17S10,P18,P19,P20,P20S1,P20S2,P20S3,P20S4,P20S5,P20S1A1,P20S2A1,P20S3A1,P20S4A1,P20S5A1,P21,P22,P23,P23S1R,P23S2,P24,P25,P26,P26S1,P26S2,P26S3,P26S4,P26S5,P26S6,P26_1,P26_2S1,P26_2S2,P26_2S3,P26_2S4,P26_2S5,P26_2S6,P26_2S7,P26_2S8,P27,P28R,P29,P30,P30S1,P30S2,P30S3,P30S4,P30S5,P30S6,P30S7,P30S8,P30S9,P30S1A1R,P30S2A1R,P30S3A1R,P30S4A1R,P30S5A1R,P30S6A1R,P30S7A1R,P30S8A1R,P30S9A1R,P30_1,P30_2,P31,P32,P32S1,P32S2,P32S3,P32S4,P32S5,P32S6,P32S7,P32S8,P33,P33S1,P33S2,P33S3,P33S4,P33S5,P33S6,P33_1,P33_2,P33_2S1,P33_2S2,P33_2S3,P33_2S4,P33_2S5,P34,P35,P36R,P37S1,P37S2,P37S3,P37S4,P37S5,P37S6,P37S7,COMPLETA
1038,2,52,52001,1,11,2,1,61,1,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,10,0,10,1,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,2,1,,2,2,2,2,2,1,2,2,2,,,,,,41,,,,6,4,1,1,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1039,2,85,85001,1,01,1,1,33,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,1,2,2,2,2,2,,,,,2,7,,16,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,1,5,,1,1,1,2,1,1,2,2,2,15,15,15,,17,17,,,,6,2,2,,,,,,,,,,,1,1,1,2,2,2,1,,1,2,1,1,1,4,,,,,,,,,,1
1040,2,52,52001,1,11,2,1,61,1,3,3,1,3,6,4,4,3,4,4,4,4,4,2,1,,,,,,,,,1,,1,2,,2,2,2,2,2,,,,,,2,5,,3,7,4,6,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,4,4,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1041,2,41,41001,1,10,1,1,34,2,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,8,5,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,2,2,1,2,2,2,2,2,,,,21,,,,,,4,,2,,,,,,,,,,,2,2,1,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1042,2,52,52001,1,11,2,1,72,1,3,1,1,3,6,4,4,3,4,4,3,4,4,4,1,,,,,,,,,,1,1,1,,2,2,2,2,2,,,,,,1,5,,1,2,4,9,,2,2,1,2,2,2,3,,1,1,,,,,,1,6,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,1,2,2,2,2,1,,,,,,,,,,1
1043,2,73,73001,1,05,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,61,,,,,1,,,1
1044,2,52,52001,1,11,2,1,25,1,3,2,1,3,6,4,4,4,4,4,4,4,4,3,1,,,,,,,,1,,,11,,,2,2,2,2,2,,,,,,1,10,,0,4,5,3,,2,2,1,2,2,2,3,,1,1,,,,1,1,1,2,9,,1,1,2,2,2,1,2,2,2,15,17,,,,23,,,,6,1,2,,,,,,,,,,,1,2,1,2,2,1,1,,2,2,2,1,1,1,,,,,,,,,,1
1045,2,52,52001,1,11,2,1,42,1,3,1,1,3,6,4,4,4,2,4,4,3,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,13,2,10,6,,2,1,1,2,2,2,3,,1,1,1,1,,1,1,1,3,9,,1,1,2,2,2,1,2,2,2,16,22,,,,15,,,,1,4,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1047,2,41,41001,1,10,1,1,36,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,8,6,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,1,2,2,2,1,2,2,2,,16,,,,18,,,,6,1,2,,,,,,,,,,,1,2,2,2,2,2,1,,2,2,2,2,1,1,,,,,,,,,,1
1048,2,52,52001,1,11,2,1,55,1,3,2,1,3,5,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,1,0,4,9,,2,2,1,2,2,2,3,,1,1,,,,,,1,4,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1050,2,52,52001,1,11,2,1,60,1,3,1,1,3,6,4,4,3,4,4,4,4,4,3,2,,,,,,,,,,,,,,1,1,2,2,2,1,2,,,,1,5,,10,0,4,9,,2,2,1,2,2,2,3,,1,1,,,,1,1,1,6,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,1,1,2,2,2,2,,2,2,2,2,1,1,,,,,,,,,,1
1051,2,73,73001,1,05,1,1,65,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,1,1,,,,,,1,,,10,,,2,2,2,2,2,,,,,,1,5,,10,6,5,3,,1,2,2,2,2,2,1,1,,,,,,,,1,3,5,,1,1,1,2,2,1,2,2,2,15,15,15,,,15,,,,6,2,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1052,2,41,41001,1,10,1,1,26,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,10,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,2,1,2,2,1,2,2,2,15,,15,,,18,,,,6,1,2,,,,,,,,,,,2,2,1,2,1,2,1,,2,2,2,2,1,1,,,,,,,,,,1
1053,2,52,52001,1,11,2,1,38,2,3,2,1,3,5,4,4,3,4,4,4,4,4,2,2,,,,,,,,,,,,,,1,2,2,2,2,2,,,,,1,10,,7,0,4,6,,2,1,2,1,2,2,2,,,1,,,,,,1,1,1,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,1,1,1,2,2,2,1,,1,2,2,1,1,1,,,,,,,,,,1
1055,2,52,52001,1,11,2,1,55,1,3,2,1,3,5,4,4,3,3,3,4,4,4,4,1,,,,,,,,,,1,3,1,,2,2,2,2,2,,,,,,2,5,,1,0,4,3,,2,2,1,2,2,2,3,,1,1,1,,,,1,1,4,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,1,2,,2,2,2,2,2,1,,,,,,,,,,1
1056,2,41,41001,1,10,1,1,71,2,6,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,10,0,11,9,,2,2,2,2,2,2,,,,,,,,,,1,1,8,,2,2,1,2,2,1,2,2,2,,,25,,,50,,,,6,1,2,,,,,,,,,,,2,2,2,2,2,1,2,,1,2,1,2,1,5,,,,,,,,,,1
1057,2,52,52001,1,11,2,1,72,1,3,1,1,3,6,3,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,1,0,4,3,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,2,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,1,1,,,,,,,,,,1
1059,2,52,52001,1,11,2,1,67,2,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,2,0,5,9,,2,2,1,2,2,2,3,,1,1,,,,,,1,3,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1060,2,41,41001,1,10,1,1,27,1,6,1,1,1,6,3,3,4,4,4,3,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,10,10,7,9,,2,2,2,1,2,2,4,,1,1,,,,,,1,1,5,,2,2,1,2,2,1,2,2,2,,,18,,,20,,,,6,1,1,2,,,1,,1,,1,,,2,2,1,2,2,2,2,,2,2,2,2,2,3,,,,,,,,,,1
1061,2,41,41001,1,10,1,1,67,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,32,0,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,2,1,2,2,1,2,2,2,,,17,,,18,,,,6,1,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,1,2,2,1,,,,,,,,,,1
1063,2,52,52001,1,11,2,1,33,1,3,1,1,3,6,4,4,4,3,4,4,4,3,4,1,,1,,,,,1,,,,1,1,,2,2,2,2,1,,,,,1,1,1,,17,0,6,1,,2,1,1,2,2,2,3,,1,1,1,1,1,1,1,1,2,5,,1,2,1,2,2,1,2,2,2,19,,30,,,21,,,,6,4,1,1,,,,,,,,,,1,1,1,2,2,2,1,,1,2,2,1,1,1,,,,,,,,,,1
1064,2,41,41001,1,01,1,1,30,1,3,1,1,1,1,4,4,4,4,4,4,4,4,3,1,,,,,,,,,,1,11,,,2,2,2,2,2,,,,,,1,7,,5,0,1,1,,2,2,2,2,2,2,,,,,,,,,,1,5,5,,1,2,1,1,2,1,2,2,2,15,,15,26,,15,,,,6,1,2,,,,,,,,,,,1,2,1,2,2,2,1,,2,2,2,2,1,1,,,,,,,,,,1
1065,2,73,73001,1,13,1,1,47,1,3,2,1,1,6,4,4,4,4,3,3,4,4,4,2,,,,,,,,,,,,,,1,1,2,2,2,1,1,,,,1,4,,20,0,7,9,,2,2,2,2,2,1,6,,1,,,,,,,1,6,5,,2,2,2,2,1,1,2,2,2,,,,,27,40,,,,6,4,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1066,2,52,52001,1,11,2,1,64,1,3,2,1,3,6,4,4,4,4,4,4,4,4,4,1,,,,,,,,,,1,1,1,,2,2,2,2,2,,,,,,1,6,,28,0,4,3,,1,2,1,2,2,2,1,1,1,,,,,,,1,2,4,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,1,,1,2,2,2,2,1,,,,,,,,,,1
1067,2,52,52001,1,11,2,1,53,2,3,1,1,3,6,4,4,2,4,4,1,4,2,4,2,,,,,,,,,,,,,,1,2,2,2,2,2,,,,,1,7,,7,0,7,1,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,2,8,1,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,4,,,,,,,,,,1
1068,2,41,41001,1,10,1,1,25,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,8,4,1,9,,2,2,2,2,2,2,,,,,,,,,,1,1,7,,2,2,1,2,2,1,2,2,2,,,17,,,17,,,,6,1,2,,,,,,,,,,,2,2,1,2,2,2,1,,2,2,2,2,1,1,,,,,,,,,,1
1070,2,52,52001,1,11,2,1,36,1,3,2,1,3,6,4,4,4,2,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,0,6,3,1,,2,2,1,1,2,2,4,,1,1,1,1,1,1,1,1,1,4,,1,1,2,2,2,2,2,2,2,15,30,,,,,,,,1,,1,1,,,,,,,,,,2,2,1,1,2,2,1,,2,2,2,1,1,1,,,,,,,,,,1
1071,2,52,52001,1,11,2,1,65,2,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,5,0,5,9,,2,2,1,2,2,2,3,,1,1,1,1,,1,1,1,4,4,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1072,2,41,41001,1,10,1,1,26,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,10,6,1,9,,2,2,2,2,2,2,,,,,,,,,,1,2,7,,2,2,1,1,2,1,1,2,2,,,16,16,,16,25,,,4,1,2,,,,,,,,,,,1,2,1,2,2,2,1,,2,2,2,2,1,1,,,,,,,,,,1
1073,2,41,41001,1,01,1,1,35,1,3,2,1,1,1,4,4,3,4,4,4,4,3,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,25,0,1,1,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,2,1,2,2,1,2,2,2,15,,15,,,15,,,,3,1,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1075,2,52,52001,1,11,2,1,23,1,3,2,1,3,6,4,4,3,4,4,3,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,2,,0,0,2,9,,2,2,1,2,2,2,3,,1,1,,,,,,1,4,4,,1,2,2,2,2,2,2,2,2,17,,,,,,,,,1,,1,1,,,,,,,,,,1,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1077,2,63,63001,1,03,2,1,75,1,3,2,1,3,6,3,3,3,3,4,3,4,3,3,2,,,,,,,,,,,,,,1,2,2,2,2,1,,,,,1,10,,30,0,10,9,,2,2,1,1,2,1,4,,1,1,,,,1,1,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,1,2,2,2,2,2,,2,2,2,2,2,5,,,,,,,,,,1
1078,2,73,73001,1,05,1,1,62,1,3,1,1,1,6,4,4,2,4,3,3,4,4,3,1,,,,,,1,,,,,9,,,2,2,2,2,2,,,,,,1,5,,18,0,9,3,,2,2,2,2,2,2,,,,,,,,,,1,2,5,,2,1,2,2,2,2,2,2,2,,15,,,,,,,,2,,2,,,,,,,,,,,2,1,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1079,2,52,52001,1,11,2,1,18,2,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,0,2,5,1,,1,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,2,4,,2,2,1,2,2,2,2,2,2,,,15,,,,,,,3,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1080,2,41,41001,1,10,1,1,57,1,3,2,1,1,6,4,4,3,3,4,4,4,4,3,1,,,,,,,,1,,,3,1,,2,2,2,2,2,,,,,,2,3,,21,0,2,3,,1,1,2,1,2,2,1,,1,,,,,,1,1,2,5,,1,2,1,2,1,1,2,2,1,15,,15,,20,15,,,15,6,2,2,,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,2,1,1,,,,,,,,,,1
1082,2,63,63001,1,03,2,1,73,1,3,2,1,3,6,4,4,3,4,3,4,4,4,3,2,,,,,,,,,,,,,,2,2,1,2,2,,,1,,,1,6,,5,0,10,9,,2,2,1,1,2,1,4,1,1,1,,,,1,1,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,1,2,2,2,2,2,1,,2,2,2,2,2,5,,,,,,,,,,1
1083,2,73,73001,1,05,1,1,40,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,1,,1,,,,,,,,,10,,,2,2,2,2,2,,,,,,1,7,,11,0,9,5,,1,2,2,2,2,2,1,,1,,,,,,1,2,8,5,,1,1,2,2,1,1,2,2,2,15,15,,,15,15,,,,6,1,2,,,,,,,,,,,1,2,2,2,2,2,1,,2,2,2,1,2,1,,,,,,,,,,1
1084,2,52,52001,1,11,2,1,20,1,3,2,1,3,5,4,4,4,4,4,3,4,4,2,1,,,,,,,,,,1,10,,,2,2,2,2,2,,,,,,2,1,,3,0,1,1,,1,2,1,2,2,2,1,1,1,,,,,,,1,2,4,,1,1,1,1,2,1,2,2,2,18,16,16,19,,20,,,,3,4,1,1,,,,,,,,,,1,2,1,1,1,2,2,,1,2,1,1,1,1,,,,,,,,,,1
1085,2,52,52001,1,05,1,1,47,1,3,1,1,1,6,4,4,3,3,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,15,0,1,3,,1,2,2,2,1,2,1,1,1,,,,,,,1,1,3,,2,1,2,2,2,2,2,2,2,,25,,,,,,,,2,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1086,2,52,52001,1,05,1,1,30,1,3,1,1,1,6,4,4,4,4,4,4,4,3,3,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,2,,1,6,2,9,,2,1,2,2,2,2,2,,1,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,15,15,15,15,15,15,15,15,15,6,1,2,,,,,,,,,,,2,1,1,2,2,2,1,,2,1,1,1,1,1,,,,,,,,,,1
1087,2,41,41001,1,08,1,1,34,1,3,2,1,1,6,3,4,3,4,4,4,4,4,4,1,,1,,,,1,,,,,11,,,2,2,2,2,2,,,,,,1,1,,5,10,1,5,,2,1,2,2,2,1,2,,1,,,,,,,1,4,5,,1,1,1,2,2,1,2,2,1,15,15,15,,,28,,,28,6,1,1,2,,,,,,,,1,,2,2,1,2,2,2,1,,1,1,1,1,1,1,,,,,,,,,,1
1089,2,47,47001,1,02,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,1,,,,,,,1
1091,2,52,52001,1,11,2,1,54,2,5,1,1,3,6,3,4,3,3,4,4,4,4,3,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,30,0,5,5,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,1,9,,2,1,2,2,2,2,2,2,2,,53,,,,,,,,2,,1,1,,,,,,,,,,1,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1092,2,63,63001,1,03,3,1,75,1,3,2,1,3,6,4,4,3,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,0,0,10,3,,2,2,1,1,2,1,4,1,1,1,,,,1,1,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1093,2,63,63001,1,09,2,1,75,1,3,2,1,3,6,4,4,3,2,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,6,0,11,6,,2,2,1,2,2,2,3,1,,,,,,,,1,1,9,,1,2,2,2,2,2,2,2,2,15,,,,,,,,,1,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1094,2,41,41001,1,08,1,1,24,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,8,6,1,9,,2,2,2,1,1,1,4,,1,1,,,,,1,2,8,7,,1,2,1,2,2,1,2,1,1,16,,17,,,17,,16,16,3,2,2,,,,,,,,,,,1,2,2,2,2,2,1,,1,1,2,2,2,1,,,,,,,,,,1
1096,2,52,52001,1,05,1,1,20,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,0,2,2,9,2,2,2,2,2,2,2,,,,,,,,,,1,2,4,,1,2,1,2,2,1,2,2,2,15,,17,,,18,,,,6,1,2,,,,,,,,,,,2,2,1,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1097,2,73,73001,1,01,2,1,50,2,3,2,1,3,6,4,4,2,4,3,4,4,4,3,1,1,,1,1,1,,,,1,,4,,,1,2,2,2,2,2,,,,,2,1,,15,10,1,5,,2,2,1,2,2,2,3,,1,1,,,,,,1,2,4,,1,1,2,2,2,1,2,2,2,15,22,,,,15,,,,6,1,1,1,,,,,,,,,,2,2,2,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1098,2,63,63001,1,09,2,1,75,1,3,2,1,3,6,4,4,4,2,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,11,,7,0,6,6,,2,2,1,2,2,2,3,1,,,,,,,,1,1,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1100,2,41,41001,1,08,1,1,35,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,1,,15,2,1,9,,2,2,2,2,2,2,,,,,,,,,,1,5,5,,1,2,2,2,2,1,2,2,2,15,,,,,20,,,,6,1,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1102,2,52,52001,1,11,2,1,49,1,3,2,1,3,6,4,4,3,3,3,3,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,0,4,5,3,,1,2,1,2,2,2,1,1,,,,,,,,1,1,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,1,1,2,1,,2,2,2,1,1,1,,,,,,,,,,1
1103,2,52,52001,1,11,2,1,37,1,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,1,2,2,2,,2,,,,1,1,,4,0,5,1,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,2,4,,2,2,1,2,2,2,2,2,2,,,15,,,,,,,3,,1,1,,,,,,,,,,2,2,1,2,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
1104,2,73,73001,1,01,2,1,51,2,3,2,1,3,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,5,,33,0,1,1,,2,1,2,1,1,2,4,,1,1,1,1,1,1,1,1,2,4,,1,2,2,2,2,1,2,2,2,15,,,,,15,,,,6,1,1,1,,,,,,,,,,2,2,1,2,1,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1105,2,63,63001,1,02,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,,,,,,,1,1
1106,2,52,52001,1,05,1,1,30,1,3,2,1,1,6,4,4,4,4,3,3,4,4,4,1,,,,,,,,1,,,11,,,2,2,2,2,2,,,,,,1,1,,1,0,1,1,,2,2,2,2,2,2,,,,,,,,,,1,3,4,,2,1,1,2,2,1,2,2,2,,20,20,,,20,,,,3,2,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1107,2,63,63001,1,09,2,1,75,1,3,2,1,3,6,2,2,1,2,3,2,3,3,2,1,,,,,,,,,,1,11,,,1,2,2,2,2,1,,,,,1,11,,2,0,6,8,,2,2,1,2,2,2,3,1,,,,,,,,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1108,2,41,41001,1,08,1,1,38,1,3,2,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,1,2,2,,,1,,,1,7,,1,3,9,9,,2,2,1,2,2,2,3,,1,,,,,,,2,1,5,,1,2,2,2,1,1,2,2,2,15,,,,15,15,,,,6,1,2,,,,,,,,,,,2,2,1,2,2,1,1,,2,2,1,2,1,1,,,,,,,,,,1
1111,2,44,44001,1,09,1,1,37,2,6,2,1,1,6,4,4,4,4,4,4,4,4,4,1,,,,,1,,,,1,,3,1,,2,2,2,2,2,,,,,,1,1,,1,11,1,1,,2,2,2,2,2,1,6,,,,1,,,,,1,2,5,,2,2,1,1,2,1,2,2,2,,,15,15,,15,,,,6,3,2,,,,,,,,,,,1,2,2,2,2,2,1,,1,2,1,2,1,1,,,,,,,,,,1
1112,2,63,63001,1,03,2,1,67,1,3,2,1,3,6,4,4,2,4,4,4,4,4,4,1,,,,,,,,,,1,3,2,,2,2,2,2,2,,,,,,1,11,,4,0,10,3,,2,2,2,1,2,1,4,,1,1,,,,1,1,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,2,,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1113,2,41,41001,1,08,1,1,26,1,3,1,1,1,6,4,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,6,,0,6,5,4,,1,2,2,2,2,1,1,,1,1,,,,,,1,2,9,,1,1,1,2,2,1,2,2,2,15,15,15,,,26,,,,6,2,2,,,,,,,,,,,2,2,1,1,2,2,2,,2,2,1,2,2,1,,,,,,,,,,1
1114,2,63,63001,1,09,2,1,75,1,3,2,1,3,6,2,3,2,4,4,3,4,3,3,1,,,,,,,,,,1,1,1,,1,2,2,2,2,1,,,,,1,11,,6,0,6,9,,2,2,1,2,2,2,3,1,,,,,,,,2,8,9,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,,,,,,,,,,2,2,2,2,2,2,2,,2,2,2,2,2,1,,,,,,,,,,1
1117,2,52,52001,1,11,2,1,39,1,3,1,1,3,6,4,4,4,4,4,2,4,4,4,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,1,7,,0,5,5,3,,2,2,1,2,2,2,3,,1,1,,,,,,1,1,5,,2,1,1,2,2,1,2,2,2,,15,15,,,17,,,,3,4,1,1,,,,,,,,,,2,2,1,2,2,2,1,,1,2,2,1,2,1,,,,,,,,,,1
1118,2,52,52001,1,11,2,1,30,1,3,1,1,3,6,3,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,2,2,2,1,2,,,,1,,1,1,,26,0,8,1,,2,2,1,2,2,2,3,,1,1,1,1,1,1,1,1,2,3,,2,2,2,2,2,1,2,2,2,,,,,,15,,,,6,3,1,1,,,,,,,,,,1,2,1,2,2,2,1,,1,2,1,1,1,1,,,,,,,,,,1
1119,2,52,52001,1,05,1,1,31,1,3,2,1,1,6,4,4,4,4,4,4,4,4,3,2,,,,,,,,,,,,,,2,2,2,2,2,,,,,,2,11,,1,0,5,5,2,2,2,2,2,2,2,,,,,,,,,,1,2,5,,1,2,1,2,2,1,2,2,2,18,,18,,,30,,,,6,2,2,,,,,,,,,,,1,2,2,1,2,2,1,,2,2,2,2,2,1,,,,,,,,,,1
